target,dgps,applicability,headline_theorem_target,reason
A_entry,1-4,theorem_covered,true,"positive bounded A loading and f_a support [0.2,0.8]"
B_entry,1-4,theorem_covered,true,"Revision-9 f_b support [0.15,1.05] gives uniform time leverage"
A_fixed_time_mean,1-4,theorem_covered,true,"overall loading alignment"
B_fixed_time_mean,1-4,theorem_covered,true,"overall loading alignment"
A_G1_fixed_time,1-4,theorem_covered,true,"group-specific loading alignment"
A_G2_fixed_time,1-4,theorem_covered,true,"group-specific loading alignment"
B_G1_fixed_time,1-4,theorem_covered,true,"group-specific loading alignment"
B_G2_fixed_time,1-4,theorem_covered,true,"group-specific loading alignment"
A_G2_minus_G1_fixed_time,1-3,weak_target_stress_outside_assumption9,false,"artificial halves have no systematic fixed-time loading separation"
B_G2_minus_G1_fixed_time,1-3,weak_target_stress_outside_assumption9,false,"artificial halves have no systematic fixed-time loading separation"
A_G2_minus_G1_fixed_time,4,theorem_covered,true,"DGP4 systematic group loading separation"
B_G2_minus_G1_fixed_time,4,theorem_covered,true,"DGP4 systematic group loading separation"
A_full_mean,1-4,theorem_covered,true,"broad mean with nonzero loading/factor alignment"
B_full_mean,1-4,theorem_covered,true,"broad mean with positive Revision-9 factor"
A_G1_time_average,1-4,theorem_covered,true,"group-specific broad mean"
A_G2_time_average,1-4,theorem_covered,true,"group-specific broad mean"
B_G1_time_average,1-4,theorem_covered,true,"group-specific broad mean"
B_G2_time_average,1-4,theorem_covered,true,"group-specific broad mean"
A_G2_minus_G1_time_average,1-4,theorem_covered,true,"time-average direction supplies target regularity"
B_G2_minus_G1_time_average,1-4,theorem_covered,true,"time-average direction supplies target regularity"
