requirement,pre_alignment_state,aligned_state,status,evidence
paper revision,"Code/README still described Revision 8 in official language","CLI and README identify locked Revision 9",MATCH,"src/dynamic_panel_econ/cli.py; README.md"
pooled R2,"Already 0.65 in maintained configs","0.65 in defaults, maintained configs, and frozen table",MATCH,"config.py; configs/mc/*.toml; frozen table"
pi_H,"Already 0.30","0.30 population-moment construction retained",MATCH,"calibration.py; config.py"
kappa_f_b,"0.20 in DGPParameters/defaults and active frozen table","0.15 in DGPParameters/defaults/maintained configs/frozen table",ALIGNED,"dgp.py; config.py; frozen table"
rho_fx,"Resolved default 0.0 while generator hard-coded 0.5","Parameter/default 0.5 and generator uses params.rho_fx",ALIGNED,"dgp.py; config.py"
initial conditions,"Implemented as zero but not centralized in code bookkeeping","All six zero values centralized and recorded in manifests",ALIGNED,"dgp.py; monte_carlo.py"
coefficient bound,"Production B=10 and c_B=1 already active; some software/preflight configs used B=9","Maintained/software configs use B=10,c_B=1; historical records remain historical",ALIGNED,"maintained configs; frozen envelope"
literal constrained estimator,"Exact reconstructed-entry box, fast path, constrained fallback, no clipping","Unchanged",MATCH,"estimation.py"
frozen calibration,"Revision-8 kappa_f_b=0.20 table; C_Theta,max=8.410761115894578","Active locked Revision-9 52-cell table; C_Theta,max=8.288745227963506",ALIGNED,"configs/mc/frozen_dgp_calibration.toml"
production recalibration,"Frozen table already loaded before replications","Retained and regression-tested; no per-replication c_H/c_xi calibration",MATCH,"monte_carlo.py; test_revision9_alignment.py"
rank caps,"Maintained production/stress caps already (3,3,3); old historical preflights use (2,2,2)","All maintained/default configs resolve to (3,3,3); historical files are excluded from official commands",MATCH,"config.py; production.toml; rank_stress.toml; README.md"
IC baseline,"Formula exact; default/production multiplier 1.0; smoke and old examples used tuned constants","Exact Revision-9 formula and multiplier 1.0 in all maintained/software configs and official example",ALIGNED,"rank_selection.py; maintained configs; README.md"
IC sensitivities,"Defaults/medium diagnostics included redundant 1.0","Only 0.5 and 2.0",ALIGNED,"config.py; rank_selection.py; maintained configs"
tau baseline,"sqrt(NT)/log(NT) already exact","Unchanged at multiplier 1.0",MATCH,"rank_selection.py"
tau sensitivities,"Defaults/medium diagnostics included redundant 1.0","Only 0.5 and 2.0",ALIGNED,"config.py; rank_selection.py; maintained configs"
nuclear screening,"Production gamma=.8 epsilon=.01; smoke used epsilon=.64","Maintained/software configs use gamma=.8 epsilon=.01; L=22; dense gamma=sqrt(.8)",ALIGNED,"configs; rank_selection.py; estimation.py"
rank-cap pilot,"Current best-valid-route implementation solves rank-at-most-cap box objective","Unchanged; disagreement remains numerical diagnostic",MATCH,"rank_selection.py"
candidate set,"Thresholded path/pilot plus one-neighbor union and local completion","Unchanged",MATCH,"rank_selection.py"
rank-stress DGP,"Already matched locked Appendix equations","Unchanged and exact-formula regression tests added",MATCH,"dgp.py; test_revision9_alignment.py"
conditioning field,"Not present in run manifest","Manifest now records baseline paths/unit draws, stress additions, and remaining innovations",ALIGNED,"monte_carlo.py"
B-entry applicability,"Tagged entry_leverage_requires_author_choice and excluded from headline tables","Tagged theorem_covered and included in headline tables",ALIGNED,"targets.py; medium_diagnostics.py; reporting.py"
weak fixed-time contrasts,"DGP1-3 already tagged weak_target_stress_outside_assumption9","Unchanged; DGP4 remains theorem-covered",MATCH,"targets.py"
split correction,"Exactly four shared fixed-rank splits and 3-full-time-unit correction","Unchanged",MATCH,"inference.py"
variance,"DGP1 diagonal; DGP2-4 logarithmic Bartlett spatial HAC; no temporal HAC","Unchanged",MATCH,"monte_carlo.py; inference.py; spatial.py"
boundary rule,"Boundary-active point retained but primary interval could remain valid","Point remains valid/bias-RMSE eligible; inference gets boundary_interiority_failure and is suppressed",ALIGNED,"monte_carlo.py; mc_accounting.py"
rank-at-cap,"Primary inference already stopped when selected rank hit imposed cap","Unchanged with maintained caps (3,3,3)",MATCH,"monte_carlo.py"
outlier policy,"No trimming/winsorization/magnitude deletion","Unchanged",MATCH,"mc_accounting.py"
CLI,"Official README example used cap 2 and an unspecified tuned multiplier","Canonical dry run resolves R2=.65,kappa_f_b=.15,B=10,caps=(3,3,3),IC=1,frozen table",ALIGNED,"README.md; cli.py"
