record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message,unconstrained_outside_box,constrained_fallback_used,boundary_active,constrained_solver_status
replication,beb5729f4f89ab13,1,100,100,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00000_truth1-0-2,9766e2d04bba4ea73295d9307840acdf518eb9ba84af88a66687a0a835c8322e,338.36692299999413,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,100,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00001_truth1-0-2,7b69bf41702fcc0ca385c96cf5dba31a9b71a65e15c3e5031a2a556343b83cf0,1361.7725578999962,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,100,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00002_truth1-0-2,7774159d2fedc01d9f59081b6e3660a2eb1b2d6624c0a6a7b122695d67b9eabe,491.68952629998967,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,False,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,100,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00000_truth1-1-1,eb07f996364de1bfaa59a3df551ab1ae0e5f65c9dfd730a69fc9a024a46be45b,1314.0418174000006,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,100,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00001_truth1-1-1,33500f07704812bda31d0bc87952c5fb9ae0bac6780717e5aea373cebdb9fa68,2069.8190413999982,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,100,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00002_truth1-1-1,26d31eebc7b268b8c547538a47adf9d5dcaff199955d152464698e8cddef4e1e,1850.9599105000016,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,100,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00000_truth2-1-1,427ee2ae0fb648f231972a4140cf35b9e296c43b91f73d72dff6c1152cbbac14,33.279192699992564,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path
replication,beb5729f4f89ab13,1,100,100,1,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00001_truth2-1-1,4618242182f3e54e8940fd5f2068d5e070333bf1ef1df03db76c59486514f1d4,29.899656399997184,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,False,False,False,not_needed_interior_fast_path
replication,beb5729f4f89ab13,1,100,100,2,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T100_r00002_truth2-1-1,324b9ebd1813b3dcc1303de730da441f7a946180874e9b32e807b8ddb18a3ab2,386.47112640000705,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
replication,beb5729f4f89ab13,1,100,200,0,selected_rank,__replication__,rank_selection_numerically_unresolved,rank_selection_numerically_unresolved,True,False,False,False,False,False,,,,,,3,dgp1_N100_T200_r00000_truth1-0-2,2c63f202bfcd46db371e5a58c978e17499aac96eafe76e38a51d428d6616513d,658.2057288999931,,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,True,True,True,constrained_optimality_failure
