record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message,unconstrained_outside_box,constrained_fallback_used,boundary_active,constrained_solver_status
replication,f87b622f889053fe,1,100,100,2026080901,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r2026080901_truth1-1-1,a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a,7.445108899992192,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,1,100,100,2026080902,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,5.613599400006933,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,1,100,100,2026080903,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r2026080903_truth1-1-1,a0da67ca313a3846bbc203daddc1c66f2abd37f3c6c3018179e0eb9ff240e26e,5.704606299987063,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,1,50,50,2026080901,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r2026080901_truth1-1-1,6e94958e6e076a7758783143f9c8d74bd9c57354d27442ceb5ce5b5fa280c4d2,32.09825199999614,,,True,True,True,success
replication,f87b622f889053fe,1,50,50,2026080902,fixed_rank,__replication__,full_fit_failure,full_fit_failure,True,False,False,False,False,False,"[1, 1, 1]",,,,,3,dgp1_N50_T50_r2026080902_truth1-1-1,b5dc5ca235215eca475f62b571131784a0d83a1408376c0579ec9add2343c256,0.2356553999998141,,1.153427497727181e-06,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,1,50,50,2026080903,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r2026080903_truth1-1-1,50abda1c80049d538df3a015d1baa6648833f4cc383f0ab443c68eb5f4fcc822,1.4135754999879282,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,2,100,100,2026080901,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r2026080901_truth1-1-1,89b436ff088e3db170c71557a6747ec0b46816dddf63465885f49ccb83212b2c,4.986996199993882,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,2,100,100,2026080902,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r2026080902_truth1-1-1,ca44543ebacdd9afb9acc517f205e8cb8058b6cb3882ce8df82962eab9b0f076,7.046972399984952,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,2,100,100,2026080903,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r2026080903_truth1-1-1,d5082ca34e305dd1ab505018ff4dd26c78850bb6eb8c0c662881e45b0907d214,5.7184968999936245,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,2,50,50,2026080901,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r2026080901_truth1-1-1,244e54fe799756ca474dab7ee5c3d5587ef67c6a73ac6b4a4bbf1ad2639de3d1,1.820696799986763,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,2,50,50,2026080902,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r2026080902_truth1-1-1,1760e0465df259db4ac92b00b7897e691f1e22bf226ba1dffe06061fb9b250b3,1.7866034999897238,,,False,False,False,not_needed_interior_fast_path
replication,f87b622f889053fe,2,50,50,2026080903,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r2026080903_truth1-1-1,8cc4270ea67da240bbc58198806195a39eb8c241af7c6706bc60f5e78d5cd05b,7.9954906000057235,,,True,True,True,success
replication,f87b622f889053fe,3,100,100,2026080901,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp3_N100_T100_r2026080901_truth1-1-1,1649e0eb9c5a4b6d932458ccf06df74af76c3b2bbd375b7dc84e4acfbdc34d32,7.714486899989424,,,False,False,False,not_needed_interior_fast_path
