semantic_replication_id,dgp,N,T,replication,true_rank_vector,pilot_valid,status,audited_block,true_block_rank,lambda_A_1,lambda_A_2,lambda_A_3,lambda_A_4,R_A_0,R_A_1,R_A_2,R_A_3,selected_r_A,minimum_ratio,second_smallest_ratio,ratio_gap,cap_selection_indicator,selector_state
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T100_r00000_truth2-1-1,1,100,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T100_r00001_truth2-1-1,1,100,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T100_r00002_truth2-1-1,1,100,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N50_T50_r00000_truth2-1-1,2,50,50,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N50_T50_r00001_truth2-1-1,2,50,50,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N50_T50_r00002_truth2-1-1,2,50,50,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T100_r00000_truth2-1-1,2,200,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T100_r00001_truth2-1-1,2,200,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T100_r00002_truth2-1-1,2,200,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T200_r00000_truth2-1-1,2,200,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T200_r00001_truth2-1-1,2,200,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp2_N200_T200_r00002_truth2-1-1,2,200,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N50_T50_r00000_truth2-1-1,3,50,50,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N50_T50_r00001_truth2-1-1,3,50,50,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N50_T50_r00002_truth2-1-1,3,50,50,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T100_r00000_truth2-1-1,3,100,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T100_r00001_truth2-1-1,3,100,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T100_r00002_truth2-1-1,3,100,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T200_r00000_truth2-1-1,3,100,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T200_r00001_truth2-1-1,3,100,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N100_T200_r00002_truth2-1-1,3,100,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N200_T100_r00000_truth2-1-1,3,200,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N200_T100_r00001_truth2-1-1,3,200,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N200_T100_r00002_truth2-1-1,3,200,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N200_T200_r00000_truth2-1-1,3,200,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N200_T200_r00001_truth2-1-1,3,200,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp3_N200_T200_r00002_truth2-1-1,3,200,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N50_T50_r00000_truth2-1-1,4,50,50,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N50_T50_r00001_truth2-1-1,4,50,50,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N50_T50_r00002_truth2-1-1,4,50,50,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N100_T100_r00000_truth2-1-1,4,100,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N100_T100_r00001_truth2-1-1,4,100,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N100_T100_r00002_truth2-1-1,4,100,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N100_T200_r00000_truth2-1-1,4,100,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N100_T200_r00001_truth2-1-1,4,100,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N100_T200_r00002_truth2-1-1,4,100,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N200_T100_r00000_truth2-1-1,4,200,100,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N200_T100_r00001_truth2-1-1,4,200,100,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N200_T100_r00002_truth2-1-1,4,200,100,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N200_T200_r00000_truth2-1-1,4,200,200,0,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N200_T200_r00001_truth2-1-1,4,200,200,1,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
dgp4_N200_T200_r00002_truth2-1-1,4,200,200,2,"(2,1,1)",False,rank_selection_numerically_unresolved,A,2,,,,,,,,,,,,,,not_reached_due_to_pilot_failure
