semantic_replication_id,replication_seed_state_uint32x4,dgp,N,T,panel,true_rank,replication,chunk_id,maintained_start_count,valid_start_count,failed_finite_objective,failed_feasibility,failed_stationarity,failed_objective_agreement,failed_boundary_rule,failed_rank_condition,failed_termination,failed_other,insufficient_valid_starts,best_two_valid_gap_exceeds_tolerance,any_start_stationarity_failure,any_start_termination_failure,any_start_feasibility_failure,any_start_boundary_active,all_start_objectives_finite,all_start_numerical_ranks,best_two_valid_objective_gap,objective_stability_tolerance,acceptance_pass,final_status
dgp1_N100_T100_r00000_truth1-0-2,157314568-1306418989-2938765778-4239275464,1,100,100,100x100,"(1,0,2)",0,dgp1_N100_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00000_truth1-1-1,450743888-407966510-461190552-4244042197,1,100,100,100x100,"(1,1,1)",0,dgp1_N100_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00000_truth2-1-1,2324456517-3764840354-3628322721-4232901335,1,100,100,100x100,"(2,1,1)",0,dgp1_N100_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00001_truth1-0-2,629872493-477764560-949272092-304640692,1,100,100,100x100,"(1,0,2)",1,dgp1_N100_T100_true1-0-2_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00001_truth1-1-1,746729124-195332629-1844211468-2148928791,1,100,100,100x100,"(1,1,1)",1,dgp1_N100_T100_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00001_truth2-1-1,2486375701-3066480196-1897906388-1693421276,1,100,100,100x100,"(2,1,1)",1,dgp1_N100_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00002_truth1-0-2,1476529862-804431099-641775744-2237035995,1,100,100,100x100,"(1,0,2)",2,dgp1_N100_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00002_truth1-1-1,3491449926-1907762397-984029244-3775323118,1,100,100,100x100,"(1,1,1)",2,dgp1_N100_T100_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T100_r00002_truth2-1-1,946955776-2957007683-1277363701-1134765589,1,100,100,100x100,"(2,1,1)",2,dgp1_N100_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00000_truth1-0-2,2864774401-2450113334-3679542943-3389425819,1,100,200,100x200,"(1,0,2)",0,dgp1_N100_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
