component,paper specification,current code,MATCH,MISMATCH,PAPER_UNDERSPECIFIED,recommended resolution order
estimator,"Fixed-rank least squares with loss (2NT)^-1 SSE, exact ranks, and max-entry bound B","fit_fixed_rank minimizes the same normalized loss on the supplied-rank factorization and enforces the literal entrywise box",true,false,false,"none"
coefficient bound,"One common symbolic B and interiority requirement","Production uses B=10 and simulation margin 1; deterministic envelopes are checked",true,false,true,"paper: state numerical B=10, margin=1, and envelope calculation"
boundary inference,"An active coefficient bound fails interiority and suppresses the primary interval","Boundary is recorded but does not change success status or suppress inference",false,true,false,"paper clarification on full versus split boundary; then code status/test change"
rank caps,"Imposed caps; unresolved selection at a cap suppresses inference","Primary caps [3,3,3], larger-cap diagnostic [4,4,4], and early rank_at_cap stop",true,false,true,"paper: state primary and sensitivity caps"
nuclear path,"Uses singular-value threshold tau_NT; path role otherwise not fully specified here","Geometric nuclear path is screening only; gamma=.8, epsilon=.01; box-constrained proximal fits",true,false,true,"paper: state grid, stopping rule, weights, box, and screening-only role"
tau_NT,"Baseline sqrt(NT)/log(NT); sensitivities .5 and 2","Exact baseline; configured sensitivity list is [.5,1,2], redundantly treating baseline 1 as a sensitivity result",true,true,false,"paper first; then remove redundant 1.0 from sensitivity output if literal ONLY is required"
kappa_NT baseline,"b=(NT)^(1/(8+eta))*log(NT); kappa=b^2*log(NT)^(d_s+3)","revision8_kappa implements this exactly; production/default multiplier is 1",true,false,false,"do not use historical 4e-6 diagnostic configs as the paper baseline"
kappa sensitivities,"Only .5*kappa and 2*kappa","Configured sensitivity list is [.5,1,2]; 1 duplicates the baseline",false,true,false,"after paper lock, set reported sensitivity list to [.5,2]"
cap pilot,"Rank-at-most-cap pilot is referenced but exact numerical algorithm is not supplied in this specification","Rank-adaptive local descent from up to six distinct nuclear routes; increases/decreases one coordinate; multistart diagnostics and basin confirmation",false,false,true,"paper: specify routes, moves, tolerances, hard/soft stability rule, and stopping"
candidate construction,"Not fully specified in supplied paper specification","Thresholded nuclear proposals plus thresholded cap pilot; all one-coordinate neighbors",false,false,true,"paper: state exact union and deduplication"
local completion,"Not fully specified in supplied paper specification","Repeatedly evaluates missing one-coordinate neighbors of the current IC winner until the winner is unchanged",false,false,true,"paper: state exact termination and that this is not Cartesian search"
post-refit IC,"Unpenalized fixed-rank SSE Qhat and IC=log(Qhat)+kappa*d/(NT)","Each retained candidate receives an unpenalized joint post-refit; only numerically valid and start-stable candidates can minimize exact IC",true,false,true,"paper: add multistart eligibility/tie-breaking details"
split construction,"Primary interval rules imply split correction but exact construction is not restated here","Exactly two balanced random time halves and two group-stratified unit halves; four supplied-rank fits; existing lag arrays are subset so external lagged outcomes are preserved",true,false,true,"paper: state seeds, partitions, four fits, external lags, and split-rank floor"
variance estimator,"Not restated in supplied specification","Uses distinct full/time/unit residual scores; 3*full-time-unit correction; diagonal for DGP1 and logarithmic one-dimensional Bartlett spatial HAC for DGP2-4; no temporal HAC",false,false,true,"paper: state score normalization, cutoff ceil(log(NT)), kernel, and DGP mapping"
DGP1,"Stated rank-one coefficients, iid heteroskedastic Gaussian disturbance, exogenous dynamic x, burn 50","Matches all stated equations and distributions",true,false,true,"paper: add missing initial conditions, independence, indexing, draw order"
DGP2,"DGP1 plus one-dimensional spatial AR disturbance","Matches rho_s=.5 recursion and marginal scaling",true,false,true,"paper: specify unit ordering, first-unit initialization, independence, initial conditions"
DGP3,"DGP2 plus .3*tilde_u_i,t-1 in x","Matches with an extra primitive t=-50 disturbance for the first recursion",true,false,true,"paper: state the extra disturbance and time indexing"
DGP4,"DGP3 processes; A loading means .9/1.1 with .08 perturbation; B .8/1.2 with .25 perturbation","Matches equal deterministic halves and standardized-uniform loading perturbations",true,false,true,"paper: explicitly state perturbation law, equal groups, assignments, independence"
calibration,"Population c_H at pi_H=.30 and deterministic CRN c_xi targeting pooled R2=.50","Same population c_H construction but frozen/production target is .65; .50 has no positive root in any of 16 requested cells",false,true,true,"paper: revise infeasible .50 target first; then regenerate frozen table/config only after approval"
targets,"Listed entries, fixed-time means, group targets, and time/full averages under target regularity","Exact deterministic weights implemented; B-entry and DGP1-3 fixed-time contrasts excluded from headline theorem validation",true,false,true,"paper: state exact indices/weights and theorem-stress labels"
rank stress,"Ranks (1,1,1), (2,1,1), (1,0,2) with independent bounded added terms","Exact iid-uniform outer products, deterministic common support rescaling, actual-rank c_H calibration, per-cell CRN c_xi; zero-B rank uses c_xi=1 and induced R2",true,false,true,"paper: add every formula, normalization, seed/draw, and zero-B rule before any code change"
