record_type,run_id,dgp,N,T,replication,method,target,primary_status,status,completed_dgp_replication,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,supplied_rank_vector,selected_rank_vector,cap_pilot_rank,candidate_coverage,rank_selection_diagnostics,expected_fit_count,semantic_replication_id,dgp_realization_hash,replication_runtime_seconds,exception_type,exception_message,unconstrained_outside_box,constrained_fallback_used,boundary_active,constrained_solver_status
replication,3a7461a6c19714a6,1,100,100,2026080801,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r2026080801_truth1-1-1,654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537,4.569383800000651,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,1,100,100,2026080802,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r2026080802_truth1-1-1,3dc6f020c0fd6f6e54968c752598a63b2ee91a9f1351e1ffe7c48199a4d2bd85,6.587857800011989,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,1,100,100,2026080803,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N100_T100_r2026080803_truth1-1-1,9e99a78560abfe1f1c2a9b080b68d206c8daaef3711289eebcf5fcc14a7c4ae6,5.986007800005609,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,1,50,50,2026080801,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r2026080801_truth1-1-1,fac0c8d9c6b9728facac166d28752a392dad8290e4c0cf46f5efc244aaeff526,1.590402300003916,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,1,50,50,2026080802,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r2026080802_truth1-1-1,fb6d3011f0dce6579ccbf349a4a35fbea6df86c09e0d7915039eb52c191f3745,1.5601640999957453,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,1,50,50,2026080803,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp1_N50_T50_r2026080803_truth1-1-1,1ae5a43fd85e4efa8d1556283a9f25efa69dde5de4272b2d412aeb1e6e1e9c07,8.148557999986224,,,True,True,True,success
replication,3a7461a6c19714a6,2,100,100,2026080801,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r2026080801_truth1-1-1,f33c7b3e15346a6aadaa28f4bab87d43dfa3d1998d545fdadc5371cb1644f68e,6.395847800013144,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,2,100,100,2026080802,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r2026080802_truth1-1-1,a1ec1f53b8750e0c44eef3a8d579c71d9474a0ee3b853e4cbfd27e9bb0fba104,5.495001600007527,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,2,100,100,2026080803,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N100_T100_r2026080803_truth1-1-1,fc1f7666cba355c664da9b20846f31480d385a2190a376104b7ef2776be7ce51,4.5315052999940235,,,False,False,False,not_needed_interior_fast_path
replication,3a7461a6c19714a6,2,50,50,2026080801,fixed_rank,__replication__,success,success,True,False,False,False,False,False,"[1, 1, 1]",,,,,7,dgp2_N50_T50_r2026080801_truth1-1-1,ea6bb5c6a5bd97b0577eeccecf7311836d4413b7373c7e1674229a1b451a1444,1.695163299998967,,,False,False,False,not_needed_interior_fast_path
